=== Brute Force Test Started ===
AnzahlKeyPaars;AnzahlDecayedBits;Seconds
1;1;0.049176052
1;2;0.034997851
1;3;0.039218409
1;4;0.049681361
1;5;0.17684537
1;6;0.223509372
1;7;0.853014279
1;8;1.034642263
1;9;1.621263016
1;10;5.758250343
1;11;6.631556324
1;12;5.696572902
1;13;25.037917407
1;14;23.801595432
1;15;146.538846823
1;16;190.052774786
1;17;428.050844413
1;18;927.794188477
1;19;2553.948784907
